config_label,wavelength_nm,fpr_length_um,array_pitch_um,output_pitch_um,output_offset_um,dominant_output,dominant_fraction,second_to_first,quality,source_type,coarse_score,out_1,out_2,out_3,out_4
coarse_104,1549.2,50.0,1.25,1.45,0.65,2,0.2593821840191672,0.9851429549169256,poor,coarse_local,0.16770278751406958,7.893861518963837,8.012909679316039,7.6092355848769655,7.376283331587204
coarse_104,1550.8,50.0,1.25,1.45,0.65,2,0.3134381969102872,0.794873497413126,passing,coarse_local,0.16770278751406958,4.769335483911257,6.000118886128181,4.759454946405547,3.6139997012633627
coarse_104,1552.4,50.0,1.25,1.45,0.65,2,0.4376496466597796,0.5813145739953055,general,coarse_local,0.16770278751406958,1.7186427664952766,3.6982848195817657,2.1498668644084793,0.8835375623647964
coarse_105,1547.6,50.0,1.25,1.5,0.45,3,0.25026301159804293,0.9999602143957156,poor,coarse_local,0.05040887852827254,8.381838427907173,8.39924441927257,8.399578601582968,8.382343119702464
coarse_105,1549.2,50.0,1.25,1.5,0.45,2,0.2606901944006823,0.9708351295551674,poor,coarse_local,0.05040887852827254,8.312733946126608,8.562456892073392,8.139727982368878,7.830416661872967
coarse_105,1550.8,50.0,1.25,1.5,0.45,2,0.31544320697072825,0.8306193000956489,passing,coarse_local,0.05040887852827254,4.552805782738545,6.1964480850392105,5.146889371474293,3.747481819423611
coarse_105,1552.4,50.0,1.25,1.5,0.45,2,0.43824690927982485,0.6799292824452154,general,coarse_local,0.05040887852827254,1.2748047363091592,3.585124028027985,2.437630807854168,0.8830435355851978
coarse_106,1547.6,50.0,1.25,1.5,0.5,2,0.25026775865304024,0.9999211567966789,poor,coarse_local,0.16414338974363613,8.382286240145127,8.399739843946541,8.39907758155018,8.381908562359751
coarse_106,1549.2,50.0,1.25,1.5,0.5,2,0.26056127457086065,0.9736959193762923,poor,coarse_local,0.16414338974363613,8.330987457759763,8.55604639187174,8.12403424040299,7.825915863023704
coarse_106,1550.8,50.0,1.25,1.5,0.5,2,0.31612966558780564,0.8192465777342598,passing,coarse_local,0.16414338974363613,4.620172745886014,6.207693190758,5.085631402152759,3.723043822930429
coarse_106,1552.4,50.0,1.25,1.5,0.5,2,0.44210767747224416,0.6521921768250492,general,coarse_local,0.16414338974363613,1.3422469683426117,3.6183210219011905,2.3598406637255738,0.8638442017805702
coarse_107,1547.6,50.0,1.25,1.5,0.55,2,0.2502818149603626,0.9998028705312333,poor,coarse_local,0.16748672008730772,8.382751655737167,8.40021066671574,8.398554737649482,8.381491375193201
